ApplicationID,Application Description
1,BETANDWIN.COM
2,TRIPLE-A-CASINO.COM
3,BETANDWIN.DE
4,WAP.BETANDWIN.COM
5,SMS MOBILE BETTING APPLICATION
6,CHARITY
7,DOLCEVITACASINO.COM
8,BALLS OF FIRE
9,BETEUROPE.COM
10,BAHSEGIR.COM
11,CASINO.BETEUROPE.COM
12,WWW.CASINOTURK.COM
13,WWW.SANALCASINO.COM
14,BETOTO.COM
15,PLAYIT.COM
16,CASINO.PLAYIT.COM
17,THECROUPIER.COM
18,SMS.BETANDWIN.COM
19,WAP.BETANDWIN.DE
21,BOF.PLAYIT.COM
22,BOF.BETEUROPE.COM
23,BETANDWIN POKER
24,BETANDWIN CASINO
26,SMS.BETANDWIN.DE
27,LOTTERY.BETOTO.COM
28,BETWORK.COM
29,WAP.PLAYIT.COM
30,PLAYIT POKER
31,BETEUROPE POKER
32,BETOTO POKER
33,BETANDWIN GAMES
36,BETOTO CASINO
38,BETEUROPE GAMES
42,PLAYIT GAMES
